SN,z,t0,dt0,x0,dx0,x1,dx1,c,dc,fmax,cov
ZTF18abssukb,0.1102556,2458378.048779408,1.2523176039103419,0.00043876976030884224,4.1499079968043e-05,1.6836540625617717,1.3650020654366952,0.0025608969833428737,0.06204098624957288,"[{'r': 269.60999106586706, 'g': 271.96069799561656}]","[array([[ 1.57148191e+00,  9.21172586e-06,  1.43895073e+00,
         1.67956040e-02],
       [ 9.21172586e-06,  1.72217364e-09, -1.83149884e-05,
        -1.44831633e-06],
       [ 1.43895073e+00, -1.83149884e-05,  1.87526366e+00,
         3.39487883e-02],
       [ 1.67956040e-02, -1.44831633e-06,  3.39487883e-02,
         3.85403265e-03]])]"
ZTF18acslpba,0.029314,2458463.74228904,0.030045510502532125,0.0030709668703167714,1.9693693118886385e-05,-2.6423578862783352,0.05558614400080564,0.011020960424279308,0.006456895657156892,"[{'r': 1645.689152749075, 'g': 1785.1878265633065}]","[array([[ 9.02734605e-04, -1.53105661e-07,  8.67280454e-06,
         7.26910734e-05],
       [-1.53105661e-07,  3.87841549e-10, -9.92545917e-08,
        -1.03918947e-07],
       [ 8.67280454e-06, -9.92545917e-08,  3.08985362e-03,
        -8.38648808e-05],
       [ 7.26910734e-05, -1.03918947e-07, -8.38648808e-05,
         4.16920810e-05]])]"
ZTF18acnnxzz,0.07661485,2458444.217736308,0.2992091674823314,0.0004283180189520522,7.380396961235991e-06,0.007133355188532523,0.30139690999083835,0.1559389248946861,0.021608716996835628,"[{'r': 295.506111250685, 'g': 267.0646566610211}]","[array([[ 8.95410932e-02,  7.57053540e-07,  6.83811345e-02,
        -1.98200629e-03],
       [ 7.57053540e-07,  5.44702593e-11,  1.24308908e-08,
        -1.05867105e-07],
       [ 6.83811345e-02,  1.24308908e-08,  9.08676171e-02,
        -1.23385885e-03],
       [-1.98200629e-03, -1.05867105e-07, -1.23385885e-03,
         4.67011157e-04]])]"
ZTF18abkhcrj,0.0382303,2458343.3925668043,0.035269776824861765,0.0015129098005076877,9.976842084109122e-06,0.9773633110030632,0.041712174433994886,0.2198003419543949,0.004882515069831159,"[{'r': 1015.3081126162823, 'g': 865.9556178168122}]","[array([[ 1.24396039e-03, -4.75932649e-08,  3.44711367e-04,
         3.30171724e-06],
       [-4.75932649e-08,  9.95373780e-11, -2.58527458e-07,
        -4.09141311e-08],
       [ 3.44711367e-04, -2.58527458e-07,  1.73991568e-03,
         5.86580447e-05],
       [ 3.30171724e-06, -4.09141311e-08,  5.86580447e-05,
         2.38391525e-05]])]"
ZTF18acbufud,0.08420382,2458418.458779489,24.90378338866867,0.0004437380043793293,79.39658487039164,-1.0168354644412023,14.005219092330329,0.04433393605952747,1.4361940852190964,"[{'r': 267.8128941288211, 'g': 271.909739441934}]","[array([[ 2.22148445e+02,  2.81464199e-04,  1.58680362e+00,
        -2.55764299e-01],
       [ 2.81464199e-04,  1.25230842e+02, -6.25932505e-05,
         6.05663561e-06],
       [ 1.58680362e+00, -6.25932505e-05,  1.03815565e+02,
         5.96348521e-02],
       [-2.55764299e-01,  6.05663561e-06,  5.96348521e-02,
         1.03830754e+00]])]"
ZTF18aawurud,0.053073,2458327.1086378237,2.1872110664844513e-05,0.0011775696220869408,6.067853528798212e-06,0.017297472224973996,0.03748594774616333,0.1287289593015235,0.004099893137570525,"[{'r': 712.561150716507, 'g': 659.9382606649127}]","[array([[ 4.78396120e-10,  7.16212581e-13,  1.78269393e-08,
        -1.06104259e-09],
       [ 7.16212581e-13,  3.68188464e-11, -1.09670487e-07,
        -2.33934720e-08],
       [ 1.78269393e-08, -1.09670487e-07,  1.40520286e-03,
         5.85298269e-05],
       [-1.06104259e-09, -2.33934720e-08,  5.85298269e-05,
         1.68092195e-05]])]"
ZTF18accdvrb,0.01776637024305,2458422.0893228888,2.0954757928848267e-09,0.0052863803508774315,1.7522679211574854e-05,-0.8320150485390145,0.03277190667703356,0.3878077899394697,0.0014955357562145277,"[{'r': 4484.859568654234, 'g': 3245.285764390137}]","[array([[ 4.37830660e-18, -9.70695025e-17,  4.18711366e-14,
         2.77552396e-15],
       [-9.70695025e-17,  3.07044287e-10, -9.98368955e-08,
        -1.01722210e-08],
       [ 4.18711366e-14, -9.98368955e-08,  1.07400174e-03,
        -4.11726001e-05],
       [ 2.77552396e-15, -1.01722210e-08, -4.11726001e-05,
         2.23662916e-06]])]"
ZTF18aajnyyp,0.08496041,2458231.5840655765,0.22785571846179664,0.0003805727990873961,4.644223515867102e-06,-0.9021163449571197,0.17641123659828073,0.15792996223751474,0.044214459304569735,"[{'r': 264.95287990783174, 'g': 235.18706060838147}]","[array([[ 5.19236803e-02, -1.00377384e-08, -1.88360486e-02,
        -1.02471455e-03],
       [-1.00377384e-08,  2.15688121e-11, -3.04907762e-07,
        -7.17897784e-08],
       [-1.88360486e-02, -3.04907762e-07,  3.11241798e-02,
         9.81276086e-05],
       [-1.02471455e-03, -7.17897784e-08,  9.81276086e-05,
         1.95622630e-03]])]"
ZTF18acbudzh,0.03634158,2458416.757412774,0.5306594294961542,0.000626291646121567,3.3784704043974406e-05,-0.6720926140725103,0.28729318665228926,0.5739927817028854,0.02717755547343842,"[{'r': 713.2067790040367, 'g': 417.5153824029448}]","[array([[ 2.82200604e-01, -1.39566843e-05, -4.48799857e-02,
         7.90715741e-03],
       [-1.39566843e-05,  1.14140623e-09, -2.65110897e-06,
        -8.25487271e-07],
       [-4.48799857e-02, -2.65110897e-06,  8.25601963e-02,
         2.62843854e-03],
       [ 7.90715741e-03, -8.25487271e-07,  2.62843854e-03,
         7.38890888e-04]])]"
ZTF18aaxcntm,0.02679243,2458279.602911335,0.00863735331222415,0.0030120487418731565,3.2160343625201038e-06,-1.7062530807318441,0.015566890665702493,0.058699214240980215,0.0010282536546135715,"[{'r': 1755.852948596369, 'g': 1840.2294125139433}]","[array([[ 7.46038861e-05,  1.66244626e-09,  8.78822514e-06,
        -8.42464338e-07],
       [ 1.66244626e-09,  1.03428770e-11, -1.69964357e-08,
        -2.70502071e-09],
       [ 8.78822514e-06, -1.69964357e-08,  2.42328287e-04,
         1.92942015e-06],
       [-8.42464338e-07, -2.70502071e-09,  1.92942015e-06,
         1.05730595e-06]])]"
