SN,z,t0,dt0,x0,dx0,x1,dx1,c,dc,fmax,cov,mu,dmu
ZTF18aailmnv,0.08034199999999991,2458327.791526739,0.06945250811986625,0.0007905641667603353,8.303884224333813e-06,0.4653215308154269,0.09765457890271578,-0.0797793359469511,0.009102144912838964,"[{'r': 1227.0794208132636, 'g': 1470.4619090731462}]","[array([[ 4.82369802e-03, -1.57077947e-09,  2.22942445e-03,
        -2.54260421e-05],
       [-1.57077947e-09,  6.89544932e-11, -5.23184948e-07,
        -5.13472765e-08],
       [ 2.22942445e-03, -5.23184948e-07,  9.53672060e-03,
         1.71778009e-04],
       [-2.54260421e-05, -5.13472765e-08,  1.71778009e-04,
         8.28513448e-05]])]",37.83938931401032,0.10747820974334615
ZTF18aaoxryq,0.0941320000000001,2458342.6037196857,0.06742877536453307,0.0005088027208820164,5.4488895599481835e-06,-0.2494041893456544,0.07857802816062712,0.0038816207507967057,0.009050109310615142,"[{'r': 814.7765944732485, 'g': 824.9541364365937}]","[array([[ 4.54668016e-03, -6.98408970e-08,  2.28236136e-03,
        -4.49676586e-05],
       [-6.98408970e-08,  2.96903974e-11, -2.65456948e-07,
        -3.72528596e-08],
       [ 2.28236136e-03, -2.65456948e-07,  6.17463367e-03,
         1.31662177e-04],
       [-4.49676586e-05, -3.72528596e-08,  1.31662177e-04,
         8.19067148e-05]])]",38.046694191926925,0.1072873320801152
ZTF18aapqwyv,0.05606,2458244.8231866625,0.058618557872250676,0.0006605204543396817,5.576853786833091e-06,-1.9059936918370224,0.04556060092933367,0.17627620628779386,0.00789420269122193,"[{'r': 1309.309575819326, 'g': 1150.2764943379918}]","[array([[ 3.43616771e-03, -1.26546764e-07,  9.92679693e-04,
         1.64990582e-05],
       [-1.26546764e-07,  3.11012982e-11, -1.12898657e-07,
        -3.09569234e-08],
       [ 9.92679693e-04, -1.12898657e-07,  2.07578326e-03,
        -1.30658163e-06],
       [ 1.64990582e-05, -3.09569234e-08, -1.30658163e-06,
         6.23197722e-05]])]",37.090411114897755,0.10450882387262556
ZTF18aapsedq,0.07245600000000008,2458248.3934308416,0.03977333684451878,0.0007883363670569965,3.380995864291081e-06,-0.3120927641379606,0.041914218691034205,-0.09401703904556284,0.004713561528322738,"[{'r': 1229.7179800996132, 'g': 1497.8614804325216}]","[array([[ 1.58192468e-03,  1.34988402e-08,  2.93564197e-04,
        -2.92527348e-05],
       [ 1.34988402e-08,  1.14311330e-11, -4.49666299e-08,
        -1.04585775e-08],
       [ 2.93564197e-04, -4.49666299e-08,  1.75681203e-03,
        -3.02215668e-05],
       [-2.92527348e-05, -1.04585775e-08, -3.02215668e-05,
         2.22178283e-05]])]",37.836685323034544,0.10151702989501815
ZTF18aaqcozd,0.0739939999999999,2458254.065294033,2.96030193567276e-05,0.0007350289770240159,4.81886703082926e-06,-1.106436252882815,0.05376381728780266,-0.09102611171850326,0.006225883001909183,"[{'r': 1121.7682947133371, 'g': 1360.3629825924827}]","[array([[ 8.76340707e-10,  3.68364725e-12,  1.62328828e-09,
        -3.95948947e-09],
       [ 3.68364725e-12,  2.32214795e-11, -1.46926740e-07,
        -2.35379992e-08],
       [ 1.62328828e-09, -1.46926740e-07,  2.89057625e-03,
         1.10180501e-04],
       [-3.95948947e-09, -2.35379992e-08,  1.10180501e-04,
         3.87621242e-05]])]",37.81868916564707,0.10347611122456066
ZTF18aaqcqvr,0.07231499999999991,2458256.8214724567,0.04293224401772022,0.0008690746695145385,5.069464746564056e-06,0.06402351247734915,0.054683632289620886,-0.026896232246439306,0.005077372854888898,"[{'r': 1416.754612214701, 'g': 1578.3473250288566}]","[array([[ 1.84318685e-03, -2.14383863e-08,  1.65391993e-03,
         8.18724523e-06],
       [-2.14383863e-08,  2.56994728e-11, -1.49254978e-07,
        -2.05055451e-08],
       [ 1.65391993e-03, -1.49254978e-07,  2.99032945e-03,
         8.25443560e-05],
       [ 8.18724523e-06, -2.05055451e-08,  8.25443560e-05,
         2.57799368e-05]])]",37.546278866875554,0.10258068407721745
ZTF18aaqcugm,0.06240800000000002,2458255.567740366,0.02594731911085546,0.0011823704264287208,4.537744988496878e-06,-1.1527477812475833,0.03194399811639048,-0.08835342955109535,0.003868626326784759,"[{'r': 1787.6832463314686, 'g': 2202.124909274251}]","[array([[ 6.73264873e-04,  3.06119286e-09,  4.80535221e-04,
        -6.45222918e-06],
       [ 3.06119286e-09,  2.05911296e-11, -6.34363363e-08,
        -1.29790077e-08],
       [ 4.80535221e-04, -6.34363363e-08,  1.02042253e-03,
         2.07470384e-05],
       [-6.45222918e-06, -1.29790077e-08,  2.07470384e-05,
         1.49663449e-05]])]",37.275182438270704,0.10123556357421787
ZTF18aaqffyp,0.07038000000000011,2458254.6240058197,0.033009253442287445,0.0006941438989140833,3.244904187720693e-06,0.9505691050706839,0.036719637751973844,0.043730416619138464,0.003918007982846573,"[{'r': 1271.8574760255212, 'g': 1320.396444836166}]","[array([[ 1.08961445e-03,  8.03794903e-09,  7.75452455e-05,
        -8.31935546e-06],
       [ 8.03794903e-09,  1.05294032e-11, -6.95951550e-08,
        -9.91794740e-09],
       [ 7.75452455e-05, -6.95951550e-08,  1.34833791e-03,
         2.96268909e-05],
       [-8.31935546e-06, -9.91794740e-09,  2.96268909e-05,
         1.53508653e-05]])]",37.68960114876384,0.10150492145625299
ZTF18aaqnrum,0.06611699999999998,2458255.838083754,0.051676493138074875,0.0007849982809587722,4.958734026436207e-06,0.14396978165120558,0.049543804828585974,-0.03275624658540779,0.005761857084192421,"[{'r': 1146.0239088528817, 'g': 1235.1429617244073}]","[array([[ 2.67047824e-03,  4.42828545e-08,  1.52136267e-05,
        -5.87878905e-05],
       [ 4.42828545e-08,  2.45890431e-11, -1.18045379e-07,
        -2.14605040e-08],
       [ 1.52136267e-05, -1.18045379e-07,  2.45460868e-03,
         1.93717684e-05],
       [-5.87878905e-05, -2.14605040e-08,  1.93717684e-05,
         3.31993649e-05]])]",37.66670840913863,0.1027517592347739
ZTF18aaqqoqs,0.08257200000000009,2458262.6866658353,0.03825159021653235,0.0007371315027639713,4.662151342010867e-06,1.080356056432206,0.05930818224155676,-0.03677645984150877,0.005429727836318215,"[{'r': 1261.7517624658035, 'g': 1420.7234513330804}]","[array([[ 1.46318879e-03, -4.43145395e-08,  9.18180008e-04,
         3.03071007e-05],
       [-4.43145395e-08,  2.17356551e-11, -2.00082464e-07,
        -1.87937425e-08],
       [ 9.18180008e-04, -2.00082464e-07,  3.51750221e-03,
         1.17371238e-04],
       [ 3.03071007e-05, -1.87937425e-08,  1.17371238e-04,
         2.94822345e-05]])]",37.8621750979284,0.10307817060083846
