SN,t_exp,A_r,A_g,alpha_r,alpha_g,B_r,B_g,dt_exp,dA_r,dA_g,dalpha_r,dalpha_g,dB_r,dB_g
ZTF18aailmnv,2458306.424074514,23.402022358489827,2.286005126388602,1.0008197428335917,2.3207928045814494,-7.571574001198248,1.000966056142684,1.1852351057554198,23.861925354199116,2.927750195025392,0.44149430664212297,0.4805655932216156,3.823647365087153,3.4291786249201435
ZTF18aaoxryq,2458324.337344297,9.510827708685131,19.872276418192,1.7766859135412456,1.0000000296859266,6.175450169778413,8.772504928467914,2.0471005303510923,22.374215836176326,40.07443594469166,1.046420703666871,1.0587921281408674,3.294700270539045,2.9742206982486845
ZTF18aapqwyv,2458227.8980530594,15.248000844739817,2.643851306261938,1.7672247159734131,2.6555197260048,25.972258685429225,15.41998369214202,4.884547048105221,94.77833706286046,23.13212902346962,2.9869208588595346,4.052344961409976,6.41871689286527,11.197641389548913
ZTF18aapsedq,2458226.768525986,0.809153720854147,2.1739142109385488,2.962121309337699,2.430040401869892,-2.1270422917468528,4.293250683899788,2.3377672561073024,3.2763596626735225,5.5866647637178035,1.7350003443388362,0.8998965097685644,2.8815736180307585,9.201229974160826
ZTF18aaqcozd,2458233.6054944517,499.9996995875782,10.140221068805628,1.0000000001573714,1.5312226036292307,-1.7537461483376884,6.343772907659344,9.678119534117778,174879.25120981355,105.02693702327231,169.19070107454658,4.766462217325393,3.7382737242522666,7.802536013971218
ZTF18aaqcqvr,2458239.816332403,53.86561372149914,76.21922815386064,1.3316201905377298,1.2554587028779411,13.111569397628822,-7.314872839544589,2.416908062436049,107.16484616748518,143.0883007938807,0.8471056074235546,0.7969629720297172,3.365020181024666,5.561819069541889
ZTF18aaqcugm,,,,,,,,,,,,,,
ZTF18aaqffyp,2458233.765415025,0.4340515042005002,14.6339682030896,1.1170361667368673,1.5725611751272095,1.0424511643553414,1.4319188770383993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF18aaqnrum,2458228.953795975,0.2573827615250587,5.1664873283583646,2.7334101460174414,1.0000009115934316,-4.1081461712641305,-16.789696576430384,4.880664816241811,2.2474745895332973,15.899938604001287,2.988474765352003,1.366511181124339,4.583186651718383,12.830430205179994
ZTF18aaqqoqs,2458242.253042771,32.60956757633447,38.957222809369476,1.2935645592977023,1.2722136328455034,-8.125069327648207,7.372530546204708,0.33140106689910503,11.066555468820138,11.468940360914758,0.15639210875261608,0.12907217203631607,3.564234468427933,4.803246764636702
ZTF18aasdted,2458246.5584234977,310.5453504648525,250.46731594950356,1.413964988548849,1.55954862532853,8.305610178633202,-2.056339912679796,0.06994513380186584,28.890129603738448,21.184534167439562,0.04299935184079109,0.037385872751866674,4.878034583365903,5.803970276124868
