SN,Np,ra,dec,Name,Subtype,u_Subtype,z,n_z,E_B-V_,tgmax,e_tgmax,Delm15g,e_Delm15g,LC,Simbad,NED,recno
ZTF18abkhcrj,647,256.651339,24.5453282,SN2018emi,normal   , ,0.0383,h,0.045,58342.53,0.06,0.69,0.03,LC,Simbad,NED,90
ZTF18abkhcwl,604,236.529608,29.7334866,SN2018eml,normal   , ,0.0317,h,0.0275,58343.95,0.04,0.8,0.02,LC,Simbad,NED,91
ZTF18abkhdxe,674,277.8432669,63.74151,SN2018ffg,normal   , ,0.104,f,0.0386,58336.55,0.08,0.72,0.05,LC,Simbad,NED,92
ZTF18abkifng,455,242.4700818,65.9384758,SN2018ers,normal   , ,0.088,h,0.0301,58343.16,0.42,0.78,0.09,LC,Simbad,NED,93
ZTF18abkigee,554,245.8716929,28.8330363,SN2018eqa,normal   ,*,0.0936,h,0.0295,58341.1,0.05,0.7,0.05,LC,Simbad,NED,94
ZTF18abklljv,566,226.9155938,38.4626308,SN2018lpk,99aa-like, ,0.141,f,0.0116,58338.31,0.11,0.69,0.09,LC,Simbad,NED,95
ZTF18abkudjo,429,227.0606219,34.8683337,SN2018eqg,normal   ,*,0.0921,h,0.0129,58344.47,0.17,0.7,0.09,LC,Simbad,NED,96
ZTF18abmmkaz,964,273.8272359,29.9107392,SN2018fdz,99aa-like,*,0.063,f,0.0943,58354.09,0.09,0.73,0.02,LC,Simbad,NED,97
ZTF18abmxdhb,1376,251.3742976,65.2389881,SN2018fjv,normal   , ,0.07,f,0.0195,58361.32,0.1,0.67,0.02,LC,Simbad,NED,98
ZTF18abnvoel,380,260.8138913,77.8448726,SN2018lpl,normal   , ,0.083,f,0.0387,58360.7,0.1,0.75,0.02,LC,Simbad,NED,99
ZTF18aboaeqy,626,242.6767718,42.594043,SN2018lpx,normal   ,*,0.129,f,0.0163,58356.82,0.18,0.78,0.07,LC,Simbad,NED,100
ZTF18abokpvh,1032,274.0309097,70.0179172,SN2018fnc,normal   ,*,0.081,f,0.0531,58364.71,0.13,0.73,0.02,LC,Simbad,NED,101
ZTF18abpamut,1381,234.5125155,51.3603736,SN2018fqe,normal   ,*,0.064,f,0.0126,58367.64,0.04,0.71,0.03,LC,Simbad,NED,102
ZTF18abpaywm,1814,277.8893626,49.816112,SN2018fne,normal   , ,0.04,f,0.0656,58367.68,0.05,0.72,0.01,LC,Simbad,NED,103
ZTF18abpmmpo,776,251.977466,42.9688021,SN2018fnd,99aa-like, ,0.076,f,0.0155,58367.84,0.05,0.65,0.02,LC,Simbad,NED,104
ZTF18abptsco,582,261.7142166,34.2465793,AT2018lpm,normal   ,*,0.12,a,0.0269,58363.13,0.37,0.84,0.1,LC,Simbad,NED,105
ZTF18abpttky,719,258.560392,36.4588844,SN2018fse,normal   , ,0.084,f,0.0319,58365.09,0.19,0.96,0.06,LC,Simbad,NED,106
ZTF18abqbavl,791,255.8739011,41.6452218,SN2018lpy,normal   ,*,0.1392,h,0.0198,58360.84,0.33,0.73,0.06,LC,Simbad,NED,107
ZTF18abqjvyl,1127,225.2653306,44.156587,SN2018fpe,normal   , ,0.0835,h,0.0157,58365.83,0.2,0.78,0.09,LC,Simbad,NED,108
